BibNum,Title,Author,ISBN,PublicationYear,Publisher,Subjects,ItemType,ItemCollection,FloatingItem,ItemLocation,ReportDate,ItemCount
2585450,Singing sensation / Geronimo Stilton ; [illustrations by Larry Keys Chiavini ... and others].,"Stilton, Geronimo","0545103681, 9780545103688",[2009],"Scholastic Paperbacks,","Stilton Geronimo Juvenile fiction, Mice Juvenile fiction, Singers Juvenile fiction, Humorous stories",jcbk,ncser,NA,fre,2018-03-01T00:00:00.000,1
3154617,A theater of envy : William Shakespeare / René Girard.,"Girard, René, 1923-2015","1587318601, 9781587318603",[2004],"St. Augustine's Press,","Shakespeare William 1564 1616 Knowledge Psychology, Psychoanalysis and literature England, Drama Psychological aspects, Mimesis in literature, Desire in literature, Envy in literature",acbk,canf,NA,cen,2018-03-01T00:00:00.000,2
2750654,The lost majority : why the future of government is up for grabs-- and who will take it / Sean Trende.,"Trende, Sean","0230116469, 9780230116467",2012.,"Palgrave Macmillan,","Political parties United States History 20th century, Political parties United States History 21st century, Two party systems United States, United States Politics and government 20th century, United States Politics and government 21st century",acbk,canf,NA,cen,2018-03-01T00:00:00.000,1
2589509,The dark side of love / Rafik Schami ; translated from the German by Anthea Bell.,"Schami, Rafik, 1946-","1566567807, 9781566567800",2009.,"Interlink Books,","Man woman relationships Syria Damascus Fiction, Damascus Syria History Fiction, Historical fiction, Love stories",acbk,cafic,NA,cen,2018-03-01T00:00:00.000,1
1836651,Presidential libraries holdings relating to prisoners of war and missing in action / compiled by Dale C. Mayer.,United States. National Archives and Records Administration,,1998.,"National Archives and Records Administratin,","Prisoners of war United States Archives Catalogs, Missing in action Archives Catalogs, Presidential libraries United States Catalogs",acbk,canf,NA,cen,2018-03-01T00:00:00.000,1
2673779,"A mother's courage : talking back to autism / Frontier Filmworks in association with Klikk Productions presents ; a documentary by Fridrik Thor Fridriksson ; executive producer, Kristin Olafsdottir ; producer, Margret Dagmar Ericsdottir.",,,2010.,"First Run Features,","Autism in children Personal narratives, Documentary films, Nonfiction films",acdvd,cadvdnf,NA,cen,2018-03-01T00:00:00.000,1
3111872,The watercolor course you've always wanted : guided lessons for beginners and experienced artists / Leslie Frontz.,"Frontz, Leslie","0770435297, 9780770435295",[2015],"Watson-Guptill Publications,",Watercolor painting Technique,acbk,nanf,NA,col,2018-03-01T00:00:00.000,1
3286447,Blitzcat / Robert Westall.,"Westall, Robert","1447284607, 9781447284604",2015.,"Macmillan Children's Books,","Cats Juvenile fiction, World War 1939 1945 Great Britain Juvenile fiction, World War 1939 1945 Juvenile fiction, World War 1939 1945 England Juvenile fiction, England Juvenile fiction",jcbk,ncfic,NA,wts,2018-03-01T00:00:00.000,1
3210903,Michelle Obama / Sarah Machajewski.,"Machajewski, Sarah","1508148120, 1508148317, 9781508148128, 9781508148319",2017.,"PowerKids Press,","Obama Michelle 1964 Juvenile literature, Presidents spouses United States Biography Juvenile literature, African American women lawyers Illinois Chicago Biography Juvenile literature, African American women Biography Juvenile literature",jcbk,ncb,NA,net,2018-03-01T00:00:00.000,1
3113634,Paulina & Fran : a novel / Rachel B. Glaser.,"Glaser, Rachel B., 1982-","0062377345, 9780062377340",[2015],"Harper Perennial,","Art schools Students Fiction, Young women Fiction",acbk,cafic,NA,cen,2018-03-01T00:00:00.000,2
2702109,The camp-out mystery / created by Gertrude Chandler Warner ; illustrated by Charles Tang.,"Warner, Gertrude Chandler, 1890-1979","0807510521, 9780807510520",1992.,"Albert Whitman & Co.,","Boxcar children Fictitious characters Juvenile fiction, Families Fiction, Brothers and sisters Fiction, Orphans Juvenile fiction, Camping Juvenile fiction, Grandfathers Juvenile fiction, Mystery and detective stories",jcbk,ncef,NA,rbe,2018-03-01T00:00:00.000,1
3262050,A stranger in the house / Shari Lapena.,"Lapeña, Shari, 1960-","073522112X, 9780735221123",[2017],"Pamela Dorman Books, Viking,","Married people Fiction, Psychological fiction, Suspense fiction, Mystery fiction",acbk,nafic,NA,col,2018-03-01T00:00:00.000,1
2322591,Charles Santore's Three hungry pigs and the wolf who came to dinner / [Charles Santore].,"Santore, Charles","0375829466, 0375929460",2005.,"Random House,","Pigs Fiction, Truffles Juvenile fiction, Wolves Juvenile fiction",jcbk,ccpic,NA,cen,2018-03-01T00:00:00.000,1
